Date (CET);LDZ;Actual;Normal
22/01/2015;632.0532584;-3.892907093;0.50873323
23/01/2015;638.5976312;-3.91978022;0.520840846
24/01/2015;653.5600356;-3.864135864;0.535616969
25/01/2015;679.4769882;-4.73956044;0.553057221
26/01/2015;729.456032;-5.381418581;0.573156432
27/01/2015;576.2266802;0.662037962;0.595908648
28/01/2015;492.6342794;2.945854146;0.621307126
29/01/2015;414.1327292;6.377822178;0.649344341
30/01/2015;291.5997866;9.857542458;0.680011984
31/01/2015;377.7857252;7.132067932;0.713300967
01/02/2015;404.7782714;5.796703297;0.749201428
02/02/2015;502.28324;2.31008991;0.787702726
03/02/2015;538.060869;1.644955045;0.828793455
04/02/2015;473.9812922;4.434365634;0.872461437
05/02/2015;479.2648266;3.07962038;0.918693733
06/02/2015;550.9645906;1.083616384;0.967476643
07/02/2015;557.217587;0.68021978;1.018795712
08/02/2015;585.5940826;-0.425374625;1.072635733
09/02/2015;635.961033;-1.551048951;1.128980751
10/02/2015;704.9347968;-3.314985015;1.187814072
11/02/2015;662.808718;-2.337262737;1.24911826
12/02/2015;621.4388624;-1.319280719;1.312875151
13/02/2015;605.8260942;-1.456843157;1.379065852
14/02/2015;634.2333038;-1.518381618;1.447670748
15/02/2015;581.7057532;0.196303696;1.518669512
16/02/2015;531.8845284;1.954245754;1.592041104
17/02/2015;528.9511832;1.872227772;1.667763783
18/02/2015;541.2877292;0.926873127;1.74581511
19/02/2015;578.4668228;0.498401598;1.826171958
20/02/2015;586.974185;-0.834365634;1.908810515
21/02/2015;640.3840126;-2.314385614;1.993706292
22/02/2015;678.585789;-3.148751249;2.080834135
23/02/2015;678.118253;-2.644955045;2.170168225
24/02/2015;622.2981886;-0.22987013;2.26168209
25/02/2015;570.9094272;1.001898102;2.355348613
26/02/2015;553.2463908;1.242257742;2.451140038
27/02/2015;521.893221;1.526273726;2.549027981
28/02/2015;508.683452;1.911188811;2.648983434
01/03/2015;515.9987026;2.082517483;2.75097678
02/03/2015;547.565991;1.289010989;2.854977795
03/03/2015;557.1878836;2.054945055;2.960955661
04/03/2015;516.09829;2.7999001;3.068878975
05/03/2015;451.9066872;5.576023976;3.178715758
06/03/2015;419.9391254;6.742957043;3.290433461
07/03/2015;359.9779078;7.162337662;3.403998981
08/03/2015;379.537886;5.301998002;3.519378665
09/03/2015;388.7343936;4.175124875;3.636538325
10/03/2015;479.2180416;0.607892108;3.755443242
11/03/2015;591.0732194;-2.195904096;3.876058184
12/03/2015;599.7472126;-2.79030969;3.99834741
13/03/2015;657.793541;-3.439360639;4.122274681
14/03/2015;669.7417282;-2.904095904;4.247803277
15/03/2015;654.1753092;-2.764535465;4.374896
16/03/2015;575.0767914;0.614685315;4.50351519
17/03/2015;519.811702;1.835464535;4.633622734
18/03/2015;503.8917134;1.909390609;4.765180079
19/03/2015;512.3604356;1.026673327;4.898148241
