,Date,Demand,Demand_real,Supply,Supply_real,Decision,Decision_real
3,2015-01-27,564.4514293439191,576.2266802,607.0720295164462,690.97,1,1
4,2015-01-28,497.85806968971093,492.63427939999997,620.6794227181537,700.28,1,1
5,2015-01-29,391.558602428317,414.13272919999997,626.0198680345397,626.78,1,1
6,2015-01-30,289.72727432608764,291.5997866,552.9970438776478,610.05,1,1
7,2015-02-02,516.9488313669075,502.28324000000003,637.8913208646695,738.77,1,1
8,2015-03-02,536.5004337524465,538.060869,552.3314145476843,589.27,1,1
17,2015-02-16,527.4672755102215,531.8845284,629.231299157271,708.53,1,1
18,2015-02-17,529.872934662487,528.9511832,622.6107758801663,689.5600000000001,1,1
19,2015-02-18,557.0405708228972,541.2877292000001,612.0469367814324,599.76,1,1
24,2015-02-25,554.9244889804016,570.9094272000001,561.3331060446106,640.47,1,1
25,2015-02-26,548.0970216219441,553.2463908,586.899177679147,603.5200000000001,1,1
27,2015-02-03,546.7606306061741,547.565991,649.1421006096889,737.78,1,1
50,2015-02-04,557.2514982171765,561.2092200000001,644.8965609149913,705.45,1,1
70,2015-01-05,239.31424416303526,259.1240616,469.0922995749412,525.9100000000001,1,1
71,2015-04-05,209.2677196911601,239.2869844,220.37882284965985,269.79,1,1
91,2015-01-06,198.29467099995128,210.12100780000003,485.30584661540166,581.4000000000001,1,1
92,2015-02-06,240.09860161858666,248.11410120000002,625.6244483329785,667.5899999999999,1,1
94,2015-04-06,202.42613606534545,213.332575,265.6215380851012,222.53,1,1
100,2015-12-06,134.9425395087455,161.6300064,204.2616321165766,186.74,1,1
113,2015-01-07,142.99320649540002,166.87428300000002,456.3616505389385,447.66,1,1
114,2015-02-07,135.28594040647883,138.0638906,604.2208403714494,692.8100000000001,1,1
115,2015-03-07,127.9329156068685,116.815285,165.22602945205196,131.48,1,1
136,2015-03-08,106.42263041413797,119.069581,179.57811636882548,135.03,1,1
137,2015-04-08,115.9115101449458,119.35989040000001,189.89730181898702,157.91,1,1
143,2015-12-08,146.51388463872343,144.73439,260.8085624080683,359.15999999999997,1,1
157,2015-01-09,185.72588756697232,173.2476018,451.16454546289776,509.78,1,1
158,2015-02-09,168.94968553023847,172.4529976,628.2058592849536,700.4399999999999,1,1
159,2015-03-09,143.3417346156267,125.26157140000001,201.73803311830716,241.78,1,1
179,2015-01-10,301.2737003675963,304.6439284,481.4616350437856,586.78,1,1
180,2015-02-10,325.7880944296095,350.41248239999993,627.4112298687062,712.52,1,1
201,2015-02-11,267.57446978183475,275.5772992,631.1109316258073,696.01,1,1
222,2015-01-12,429.7073558695621,470.2156392,489.1528428772943,610.74,1,1
223,2015-02-12,515.5604078468859,498.31631839999994,619.4954912567074,583.65,1,1
250,2016-12-01,481.77742990495915,506.5847124,501.21155942105383,561.4,1,1
254,2016-01-18,461.9571681098085,507.4431536,601.6621262479156,642.8499999999999,1,1
255,2016-01-19,525.2192476159578,535.651133,579.5261157490174,714.55,1,1
256,2016-01-20,581.8835156812352,539.5724414,627.3841229408055,604.4,1,1
273,2016-12-02,451.16567140406397,479.0942752,517.9537603174779,603.11,1,1
274,2016-02-15,313.54193511030155,373.7176498,485.5425866413464,521.01,1,1
275,2016-02-16,386.8214842192196,408.6261296,467.09984060606007,515.8299999999999,1,1
276,2016-02-17,427.2382302291058,446.9602432,457.20096118042363,460.78,1,1
280,2016-02-23,405.7587793170563,423.6462304,488.15126102898273,526.2399999999999,1,1
281,2016-02-24,390.99049771681945,435.51784680000003,492.3509532439432,493.34999999999997,1,1
294,2016-03-14,328.1182673198128,362.0318338,388.37304340336374,441.71,1,1
295,2016-03-15,299.61163961116233,313.0186296,401.7372408502571,449.18999999999994,1,1
296,2016-03-16,280.74584141594175,296.4307474,401.6560637725701,322.94999999999993,1,1
307,2016-01-04,214.68103154233728,245.18904320000001,418.060727776399,416.3,1,1
314,2016-12-04,255.60532366131687,244.46456899999998,546.1630940305976,627.8,1,1
335,2016-11-05,273.9137492447064,312.690496,294.39466456717963,439.77000000000004,1,1
336,2016-12-05,278.91080161607005,305.1246184,547.7203517414254,549.28,1,1
349,2016-01-06,181.32587813571465,189.1555974,457.749690715223,364.88,1,1
350,2016-02-06,162.74142047821744,181.8500636,205.1196520844233,195.5,1,1
351,2016-03-06,152.65339754428163,179.259554,411.38607077663755,417.38,1,1
371,2016-01-07,165.91051927779694,156.4139898,348.3464952673595,253.56,1,1
377,2016-11-07,142.52924047466558,126.79138999999999,509.0209845200246,571.4000000000001,1,1
378,2016-12-07,145.33669108889305,130.4715968,421.36123512018946,449.15,1,1
392,2016-01-08,112.45149855796083,120.27172220000001,295.03225299448326,231.63,1,1
393,2016-02-08,115.018464531043,116.84165520000002,367.70399722204274,374.33,1,1
394,2016-03-08,124.01197376793439,118.3767788,393.4213592496986,431.62,1,1
400,2016-11-08,150.7559310044542,146.37088899999998,453.24773999150807,531.35,1,1
401,2016-12-08,148.77909988742863,158.09471499999998,420.8490915589663,340.33000000000004,1,1
415,2016-01-09,167.79194089686953,162.6895608,284.41153708129264,352.22,1,1
416,2016-02-09,162.72938544631046,158.86550780000002,388.59956982744245,442.71,1,1
422,2016-12-09,161.23705607465416,161.2786304,350.6591310686359,338.22,1,1
436,2016-03-10,201.13428342906226,236.582304,378.909687520989,363.6,1,1
442,2016-11-10,204.64787202494847,200.65324919999998,476.92923354641596,467.65,1,1
443,2016-12-10,179.10240471767736,177.9265266,349.7580203227943,484.24,1,1
457,2016-01-11,232.45701404468863,267.0299758,356.62035148878977,344.11,1,1
458,2016-02-11,213.60516090982583,236.5713594,292.215601811169,271.88,1,1
459,2016-03-11,252.3947207845409,272.0998062,356.1882858310875,349.05999999999995,1,1
465,2016-11-11,301.8529623424199,334.13942460000004,448.79060712379567,454.25,1,1
473,2016-11-23,371.12415818534015,361.23065180000003,379.15166908499145,506.34000000000003,1,1
474,2016-11-24,454.9276135477915,398.9941026,459.1218569220599,429.59,1,1
485,2016-12-12,423.70324081087944,391.8160132,484.7656010153058,491.9100000000001,1,1
