Date;SAS_GPL;SAS_TTF;SAS_NCG;SAS_NBP
07/10/2013;1.64766667;1.593;1.64766667;-6.99049045
08/10/2013;1.58533333;1.544;1.59866667;38.0016663
09/10/2013;1.73583333;1.6945;1.74916667;6.06188087
10/10/2013;1.57233333;1.531;1.58566667;0.89028821
11/10/2013;1.50333333;1.462;1.51666667;-14.47508989
14/10/2013;1.56083333;1.5195;1.57416667;-4.5281592
15/10/2013;1.52083333;1.4795;1.53416667;5.27502193
16/10/2013;1.40033333;1.359;1.41366667;-5.54000937
17/10/2013;1.39433333;1.353;1.40766667;-0.3270998
18/10/2013;1.40433333;1.363;1.41766667;2.73211827
21/10/2013;1.35983333;1.3185;1.37316667;28.78536319
22/10/2013;1.28033333;1.239;1.29366667;28.89896346
23/10/2013;1.41633333;1.375;1.42966667;-2.74681698
24/10/2013;1.48633333;1.445;1.49966667;-4.54979661
25/10/2013;1.3915;1.35016667;1.40483333;-13.68894724
28/10/2013;1.26;1.21866667;1.27333333;-5.1736103
29/10/2013;1.12216667;1.08083333;1.1355;40.70712021
30/10/2013;1.02983333;0.9885;1.04316667;38.43241675
31/10/2013;1.5285;1.48016667;1.55183333;-14.25826194
01/11/2013;1.46933333;1.421;1.49266667;10.41133098
04/11/2013;1.57816667;1.52983333;1.6015;20.33007508
05/11/2013;1.74466667;1.69633333;1.768;27.61753314
06/11/2013;1.79916667;1.58433333;1.8225;-17.9766268
07/11/2013;1.61033333;1.3955;1.63366667;34.98381374
08/11/2013;1.69;1.47516667;1.71333333;-22.87499175
11/11/2013;1.84566667;1.63083333;1.869;-19.69699154
12/11/2013;1.85533333;1.6405;1.87866667;22.47144098
13/11/2013;1.87933333;1.667;1.20866667;-18.52690172
14/11/2013;1.93683333;1.7245;1.26616667;7.83866478
15/11/2013;1.86516667;1.86516667;1.80316667;39.81226577
18/11/2013;1.78333333;1.89633333;1.78433333;-5.32648399
19/11/2013;1.73333333;1.84633333;1.73433333;-2.55351034
20/11/2013;1.3945;1.5075;1.3955;18.06905593
21/11/2013;1.34933333;1.46233333;1.35033333;-11.9314394
22/11/2013;1.272;1.385;1.273;17.932069
